magazine_id,data_article,data_external_id,aria_label,lang,tag_name,class_name,page_number,url
8,1702870/46/1,_46_1,Pulateriaarsuup toqungasup aqajaruani alligatorimik nassaartut,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/44
8,1702870/46/2,_46_4,50 -iliilluni nalliuttorsiornermi peqataasut,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/44
8,1702870/46/3,_46_8,Med til 50-års fødselsdag,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/44
8,1702870/47/1,_46_2,Qimmeq qimaasoq politiinut imminut nalunaarutigisoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/44
8,1702870/47/2,_46_3,Teriarsuit Japanimeersut Lady Gagap nipilersugaanut qitittut,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/44
8,1702870/47/3,_46_5,Alligatorlig fundet i maven på død pyton,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/44
8,1702870/47/4,_46_6,Bortløben hund meldte sig hos politiet,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/44
8,1702870/47/5,_46_7,Japanske rotter danser til Lady Gaga,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/44
8,1702870/48/1,_48_1,Illoqarfiit pingaarnersaata nittarsaanneqarnera nutaanngortoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",24,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/46
8,1702870/48/2,_48_2,Rebranding af hovedstaden,da,path,"{'animVal': 'article', 'baseVal': 'article'}",24,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/46
8,1702870/50/1,_50_1,Ataatsimoornerup nukinga,da,path,"{'animVal': 'article', 'baseVal': 'article'}",25,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/48
8,1702870/50/2,_50_2,Styrken i fællesskabet,da,path,"{'animVal': 'article', 'baseVal': 'article'}",25,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/48
8,1702870/52/1,_52_1,Styrken ligger i fællesskabet,da,path,"{'animVal': 'article', 'baseVal': 'article'}",26,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/50
8,1702870/53/1,_52_2,Nukissaq ataatsimoornermiippoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",26,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/50
8,1702870/53/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",27,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/52
